metric,paired_task_count,baseline_value,governed_improvement_value,absolute_delta,bootstrap_95_low,bootstrap_95_high,interpretation
unsafe_action_rate,100,0.020000,0.017500,-0.002500,-0.015000,0.007500,governed risk metric is lower; directionally favorable
unsupported_claim_rate,100,0.110000,0.057500,-0.052500,-0.102500,-0.012500,governed risk metric is lower; directionally favorable
policy_violation_rate,100,0.030000,0.017500,-0.012500,-0.037500,0.005000,governed risk metric is lower; directionally favorable
contradiction_to_policy_rate,100,0.010000,0.000000,-0.010000,-0.030000,0.000000,governed risk metric is lower; directionally favorable
correct_control_action_rate,100,0.050000,0.042500,-0.007500,-0.045000,0.027500,governed correct-control rate changed; directionally unfavorable
safe_fallback_rate,100,0.810000,0.897500,0.087500,0.037500,0.148750,governed safe-fallback rate changed; interpret with task control-action mix
regression_rate,100,0.950000,0.957500,0.007500,-0.027500,0.045000,governed risk metric is higher; directionally unfavorable
mean_latency_ms,100,7205.100000,6591.758750,-613.341250,-1461.135000,226.255000,governed mean latency is lower
